station_id,dataset,parameter,date,value,quality
K2635,large,temperature_air_mean_200,2023-12-08T07:00:00+00:00,273.95,
K2635,large,temperature_air_mean_200,2023-12-08T08:00:00+00:00,274.05,
K2635,large,temperature_air_mean_200,2023-12-08T09:00:00+00:00,274.65,
K2635,large,temperature_air_mean_200,2023-12-08T10:00:00+00:00,275.25,
K2635,large,temperature_air_mean_200,2023-12-08T11:00:00+00:00,275.85,
K2635,large,temperature_air_mean_200,2023-12-08T12:00:00+00:00,276.45,
K2635,large,temperature_air_mean_200,2023-12-08T13:00:00+00:00,276.65,
K2635,large,temperature_air_mean_200,2023-12-08T14:00:00+00:00,276.45,
K2635,large,temperature_air_mean_200,2023-12-08T15:00:00+00:00,276.35,
K2635,large,temperature_air_mean_200,2023-12-08T16:00:00+00:00,276.15,
K2635,large,temperature_air_mean_200,2023-12-08T17:00:00+00:00,275.75,
K2635,large,temperature_air_mean_200,2023-12-08T18:00:00+00:00,275.65,
K2635,large,temperature_air_mean_200,2023-12-08T19:00:00+00:00,275.55,
K2635,large,temperature_air_mean_200,2023-12-08T20:00:00+00:00,275.55,
K2635,large,temperature_air_mean_200,2023-12-08T21:00:00+00:00,275.55,
K2635,large,temperature_air_mean_200,2023-12-08T22:00:00+00:00,275.45,
K2635,large,temperature_air_mean_200,2023-12-08T23:00:00+00:00,275.55,
K2635,large,temperature_air_mean_200,2023-12-09T00:00:00+00:00,275.45,
K2635,large,temperature_air_mean_200,2023-12-09T01:00:00+00:00,275.55,
K2635,large,temperature_air_mean_200,2023-12-09T02:00:00+00:00,275.55,
K2635,large,temperature_air_mean_200,2023-12-09T03:00:00+00:00,275.65,
K2635,large,temperature_air_mean_200,2023-12-09T04:00:00+00:00,275.65,
K2635,large,temperature_air_mean_200,2023-12-09T05:00:00+00:00,275.75,
K2635,large,temperature_air_mean_200,2023-12-09T06:00:00+00:00,275.85,
K2635,large,temperature_air_mean_200,2023-12-09T07:00:00+00:00,276.05,
K2635,large,temperature_air_mean_200,2023-12-09T08:00:00+00:00,276.45,
K2635,large,temperature_air_mean_200,2023-12-09T09:00:00+00:00,277.25,
K2635,large,temperature_air_mean_200,2023-12-09T10:00:00+00:00,277.95,
K2635,large,temperature_air_mean_200,2023-12-09T11:00:00+00:00,278.55,
K2635,large,temperature_air_mean_200,2023-12-09T12:00:00+00:00,278.95,
K2635,large,temperature_air_mean_200,2023-12-09T13:00:00+00:00,279.05,
K2635,large,temperature_air_mean_200,2023-12-09T14:00:00+00:00,279.05,
K2635,large,temperature_air_mean_200,2023-12-09T15:00:00+00:00,278.65,
K2635,large,temperature_air_mean_200,2023-12-09T16:00:00+00:00,278.35,
K2635,large,temperature_air_mean_200,2023-12-09T17:00:00+00:00,277.85,
K2635,large,temperature_air_mean_200,2023-12-09T18:00:00+00:00,277.95,
K2635,large,temperature_air_mean_200,2023-12-09T19:00:00+00:00,277.55,
K2635,large,temperature_air_mean_200,2023-12-09T20:00:00+00:00,277.55,
K2635,large,temperature_air_mean_200,2023-12-09T21:00:00+00:00,277.85,
K2635,large,temperature_air_mean_200,2023-12-09T22:00:00+00:00,277.85,
K2635,large,temperature_air_mean_200,2023-12-09T23:00:00+00:00,277.85,
K2635,large,temperature_air_mean_200,2023-12-10T00:00:00+00:00,278.15,
K2635,large,temperature_air_mean_200,2023-12-10T01:00:00+00:00,278.05,
K2635,large,temperature_air_mean_200,2023-12-10T02:00:00+00:00,277.65,
K2635,large,temperature_air_mean_200,2023-12-10T03:00:00+00:00,277.95,
K2635,large,temperature_air_mean_200,2023-12-10T04:00:00+00:00,278.35,
K2635,large,temperature_air_mean_200,2023-12-10T05:00:00+00:00,278.05,
K2635,large,temperature_air_mean_200,2023-12-10T06:00:00+00:00,278.65,
K2635,large,temperature_air_mean_200,2023-12-10T07:00:00+00:00,278.45,
K2635,large,temperature_air_mean_200,2023-12-10T08:00:00+00:00,278.75,
K2635,large,temperature_air_mean_200,2023-12-10T09:00:00+00:00,279.05,
K2635,large,temperature_air_mean_200,2023-12-10T10:00:00+00:00,279.55,
K2635,large,temperature_air_mean_200,2023-12-10T11:00:00+00:00,279.95,
K2635,large,temperature_air_mean_200,2023-12-10T12:00:00+00:00,280.65,
K2635,large,temperature_air_mean_200,2023-12-10T13:00:00+00:00,281.05,
K2635,large,temperature_air_mean_200,2023-12-10T14:00:00+00:00,281.05,
K2635,large,temperature_air_mean_200,2023-12-10T15:00:00+00:00,280.95,
K2635,large,temperature_air_mean_200,2023-12-10T16:00:00+00:00,280.75,
K2635,large,temperature_air_mean_200,2023-12-10T17:00:00+00:00,280.65,
K2635,large,temperature_air_mean_200,2023-12-10T18:00:00+00:00,280.85,
K2635,large,temperature_air_mean_200,2023-12-10T19:00:00+00:00,281.05,
K2635,large,temperature_air_mean_200,2023-12-10T20:00:00+00:00,281.55,
K2635,large,temperature_air_mean_200,2023-12-10T21:00:00+00:00,281.95,
K2635,large,temperature_air_mean_200,2023-12-10T22:00:00+00:00,281.95,
K2635,large,temperature_air_mean_200,2023-12-10T23:00:00+00:00,281.75,
K2635,large,temperature_air_mean_200,2023-12-11T00:00:00+00:00,281.05,
K2635,large,temperature_air_mean_200,2023-12-11T01:00:00+00:00,281.65,
K2635,large,temperature_air_mean_200,2023-12-11T02:00:00+00:00,281.05,
K2635,large,temperature_air_mean_200,2023-12-11T03:00:00+00:00,281.55,
K2635,large,temperature_air_mean_200,2023-12-11T04:00:00+00:00,281.35,
