station_id,resolution,dataset,parameter,date,value,quality,station_id,resolution,dataset,parameter,date,value,quality,station_id,resolution,dataset,parameter,date,value,quality,station_id,resolution,dataset,parameter,date,value,quality
K2635,hourly,small,temperature_air_mean_2m,2026-06-11T21:00:00.000000+00:00,14.6,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-11T21:00:00.000000+00:00,0.18,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-11T21:00:00.000000+00:00,0.02,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-11T21:00:00.000000+00:00,-272.25,
K2635,hourly,small,temperature_air_mean_2m,2026-06-11T22:00:00.000000+00:00,14.0,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-11T22:00:00.000000+00:00,0.24,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-11T22:00:00.000000+00:00,0.03,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-11T22:00:00.000000+00:00,-272.35,
K2635,hourly,small,temperature_air_mean_2m,2026-06-11T23:00:00.000000+00:00,13.5,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-11T23:00:00.000000+00:00,0.29,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-11T23:00:00.000000+00:00,0.03,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-11T23:00:00.000000+00:00,-272.45,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T00:00:00.000000+00:00,13.2,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T00:00:00.000000+00:00,0.3,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T00:00:00.000000+00:00,0.04,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T00:00:00.000000+00:00,-272.45,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T01:00:00.000000+00:00,13.2,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T01:00:00.000000+00:00,0.4,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T01:00:00.000000+00:00,0.08,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T01:00:00.000000+00:00,-272.45,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T02:00:00.000000+00:00,13.3,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T02:00:00.000000+00:00,0.47,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T02:00:00.000000+00:00,0.1,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T02:00:00.000000+00:00,-272.45,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T03:00:00.000000+00:00,13.4,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T03:00:00.000000+00:00,0.6,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T03:00:00.000000+00:00,0.18,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T03:00:00.000000+00:00,-272.45,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T04:00:00.000000+00:00,13.5,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T04:00:00.000000+00:00,0.67,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T04:00:00.000000+00:00,0.19,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T04:00:00.000000+00:00,-272.55,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T05:00:00.000000+00:00,13.7,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T05:00:00.000000+00:00,0.68,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T05:00:00.000000+00:00,0.24,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T05:00:00.000000+00:00,-272.65,
K2635,hourly,small,temperature_air_mean_2m,2026-06-12T06:00:00.000000+00:00,13.8,,K2635,hourly,large,probability_precipitation_height_gt_0_1mm_last_1h,2026-06-12T06:00:00.000000+00:00,0.65,,K2635,hourly,large,probability_precipitation_height_gt_1mm_last_1h,2026-06-12T06:00:00.000000+00:00,0.3,,K2635,hourly,large,error_absolute_temperature_air_mean_2m,2026-06-12T06:00:00.000000+00:00,-272.55,
